Time,TOTAL
2018-11-14 17:25:50,293831
2018-11-14 17:26:50,347169
2018-11-14 17:27:50,330681
2018-11-14 17:28:51,357750
2018-11-14 17:29:51,353589
2018-11-14 17:30:51,345148
2018-11-14 17:31:52,378978
2018-11-14 17:32:52,395922
2018-11-14 17:33:52,376013
2018-11-14 17:34:53,397553
2018-11-14 17:35:53,404345
2018-11-14 17:36:53,391959
2018-11-14 17:37:54,404513
2018-11-14 17:38:54,392703
2018-11-14 17:39:55,380310
2018-11-14 17:40:55,379022
2018-11-14 17:41:55,380470
2018-11-14 17:42:56,389930
2018-11-14 17:43:56,361431
2018-11-14 17:44:56,352683
2018-11-14 17:45:57,355115
2018-11-14 17:46:57,365486
2018-11-14 17:47:57,383298
2018-11-14 17:48:58,407326
2018-11-14 17:49:58,389531
2018-11-14 17:50:58,403184
2018-11-14 17:51:59,411212
2018-11-14 17:52:59,426148
2018-11-14 17:53:59,373116
2018-11-14 17:55:00,413390
2018-11-14 17:56:00,446499
2018-11-14 17:57:00,441224
2018-11-14 17:58:01,447156
2018-11-14 17:59:01,415380
2018-11-14 18:00:01,486463
2018-11-14 18:01:02,380823
2018-11-14 18:02:02,412733
2018-11-14 18:03:03,407976
2018-11-14 18:04:03,380476
2018-11-14 18:05:04,413798
2018-11-14 18:06:04,403406
2018-11-14 18:07:04,366794
2018-11-14 18:08:05,389390
2018-11-14 18:09:05,416532
2018-11-14 18:10:06,383397
2018-11-14 18:11:06,402457
2018-11-14 18:12:06,378450
2018-11-14 18:13:06,389966
2018-11-14 18:14:07,440491
2018-11-14 18:15:07,408485
2018-11-14 18:16:07,383625
2018-11-14 18:17:08,407802
2018-11-14 18:18:08,431095
2018-11-14 18:19:09,440631
2018-11-14 18:20:09,450943
2018-11-14 18:21:09,424017
2018-11-14 18:22:10,423634
2018-11-14 18:23:10,412724
2018-11-14 18:24:10,403800
2018-11-14 18:25:11,419324
