Time,TOTAL
2018-11-13 12:03:20,196739
2018-11-13 12:04:20,256093
2018-11-13 12:05:20,163748
2018-11-13 12:06:21,206920
2018-11-13 12:07:21,214527
2018-11-13 12:08:21,245557
2018-11-13 12:09:21,262111
2018-11-13 12:10:22,215106
2018-11-13 12:11:22,226207
2018-11-13 12:12:22,211422
2018-11-13 12:13:23,195449
2018-11-13 12:14:23,160988
2018-11-13 12:15:23,236943
2018-11-13 12:16:23,125514
2018-11-13 12:17:24,231947
2018-11-13 12:18:24,201776
2018-11-13 12:19:24,204145
2018-11-13 12:20:24,111959
2018-11-13 12:21:25,215817
2018-11-13 12:22:25,233943
2018-11-13 12:23:25,253239
2018-11-13 12:24:26,172332
2018-11-13 12:25:26,165254
2018-11-13 12:26:26,162327
2018-11-13 12:27:27,195160
2018-11-13 12:28:27,237085
2018-11-13 12:29:27,176337
2018-11-13 12:30:28,201474
2018-11-13 12:31:28,171864
2018-11-13 12:32:28,186473
2018-11-13 12:33:28,199011
2018-11-13 12:34:29,196722
2018-11-13 12:35:29,205266
2018-11-13 12:36:29,145690
2018-11-13 12:37:30,166481
2018-11-13 12:38:30,176813
2018-11-13 12:39:30,226437
2018-11-13 12:40:30,212182
2018-11-13 12:41:31,146693
2018-11-13 12:42:31,145130
2018-11-13 12:43:31,125402
2018-11-13 12:44:32,177392
2018-11-13 12:45:32,200474
2018-11-13 12:46:32,139179
2018-11-13 12:47:32,169671
2018-11-13 12:48:32,25897
2018-11-13 12:49:33,154182
2018-11-13 12:50:33,132150
2018-11-13 12:51:33,195013
2018-11-13 12:52:34,237419
2018-11-13 12:53:34,220839
2018-11-13 12:54:34,149701
2018-11-13 12:55:34,221611
2018-11-13 12:56:35,263395
2018-11-13 12:57:35,261103
2018-11-13 12:58:35,215541
2018-11-13 12:59:36,194126
2018-11-13 13:00:36,193482
2018-11-13 13:01:36,193002
